Campaign,Ad group,Month,Week,Search keyword,Search term,Currency code,Impr.,Clicks,Avg. CPC,CTR,Cost,Conv. value,Conversions,Conv. value / cost,Cost / conv.,Value / conv.
SS - DNA Testing B,adhd,Mar-23,20/03/2023,ADHD dna test psychiatry,adhd gene testing,USD,1,1,3.39,100.00%,3.39,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenomic,Jan-23,2/01/2023,pharmacogenomic test,genetic pharmacology testing,USD,3,1,7.67,33.33%,7.67,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenetic,May-23,22/05/2023,pgx test,pgx test,USD,30,4,2.8,13.33%,11.21,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenomic,Mar-23,27/02/2023,pharmacogenomic testing,pharmacogenomic testing,USD,81,5,3.54,6.17%,17.72,0,0,0, , 
SS - DNA Testing A,medication,Jan-23,9/01/2023,dna test for medication,genetic testing for drug interactions,USD,3,1,2.5,33.33%,2.5,0,0,0, , 
SS - DNA Testing A,Psych Meds,Feb-23,13/02/2023,dna testing for psychiatric drugs,dna test for mental illness,USD,11,3,5.89,27.27%,17.67,0,0,0, , 
SS - Genetic Testing - Sol8,mental health,Mar-23,13/03/2023,genetic testing for mental health medication,gene test antidepressant,USD,3,1,3.47,33.33%,3.47,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenetic,Jan-23,2/01/2023,pharmacogenetic testing at home,pharmacogenetic testing at home,USD,2,1,6.96,50.00%,6.96,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenetic,May-23,1/05/2023,pharmacogenetics test,dna test for medication efficacy,USD,2,1,0.89,50.00%,0.89,0,0,0, , 
SS - Genetic Testing TROAS,medication,Jan-23,9/01/2023,genetic medication testing,medication gene test,USD,1,1,3.25,100.00%,3.25,0,0,0, , 
SS - DNA Testing A,antidepressants,Feb-23,6/02/2023,dna test for antidepressants,gene testing for mental health medications,USD,1,1,11.5,100.00%,11.5,0,0,0, , 
SS - Genetic Testing TROAS,adhd,May-23,15/05/2023,adhd genetic testing,adhd gene test,USD,1,1,3.53,100.00%,3.53,0,0,0, , 
SS - Genetic Testing TROAS,ssris,May-23,8/05/2023,ssri genetic testing,genetic test for ssri,USD,1,1,3.5,100.00%,3.5,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenetic,Apr-23,24/04/2023,pgx genetic testing,pgx testing,USD,22,3,1.58,13.64%,4.74,0,0,0, , 
SS - DNA Testing B,mental health,May-23,8/05/2023,Mental Health dna test,dna test for mental health,USD,8,1,7.43,12.50%,7.43,0,0,0, , 
SS - DNA Testing A,medication,Mar-23,6/03/2023,dna test for medication,dna testing for medication,USD,33,3,7.73,9.09%,23.19,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenomic,Jan-23,16/01/2023,pharmacogenomic test,genetic testing for medication effectiveness,USD,2,1,7.08,50.00%,7.08,0,0,0, , 
SS - DNA Testing A,antidepressants,Jan-23,2/01/2023,dna test antidepressants,dna depression test,USD,3,1,4.2,33.33%,4.2,0,0,0, , 
SS - Competitors,Tempus,Jan-23,9/01/2023,Tempus,tempus kit,USD,3,1,4.09,33.33%,4.09,0,0,0, , 
SS - DNA Testing B,mental health,Mar-23,27/02/2023,Mental Health dna test,genetic testing for schizophrenia,USD,17,1,2.2,5.88%,2.2,0,0,0, , 
SS - Genetic Testing - Sol8,mental health,Apr-23,10/04/2023,genetic testing for mental health medication,genetic testing to find out what medications work,USD,1,1,1.51,100.00%,1.51,0,0,0, , 
SS - Genetic Testing - Sol8,mental health,Jan-23,9/01/2023,genetic testing for mental health medication,genetic testing for best medication,USD,1,1,9.19,100.00%,9.19,0,0,0, , 
SS - DNA Testing B,depression,Feb-23,27/02/2023,dna test for depression,test for antidepressants,USD,1,1,3.48,100.00%,3.48,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenetic,Mar-23,20/03/2023,dna pharmacogenetic testing,dna pharmacogenetic testing,USD,5,2,4.58,40.00%,9.16,0,0,0, , 
SS - Genetic Testing TROAS,antidepressants,Feb-23,6/02/2023,genetic testing for antidepressant response,test to see what medications work for you,USD,2,1,2.28,50.00%,2.28,0,0,0, , 
SS - DNA Testing B,mental health,Feb-23,6/02/2023,Mental Health dna test,genetic testing anxiety,USD,1,1,10.91,100.00%,10.91,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenetic,Apr-23,3/04/2023,pharmacogenetics test,genetic testing for medications,USD,12,2,1.79,16.67%,3.57,0,0,0, , 
SS - Genetic Testing TROAS,antidepressants,May-23,1/05/2023,genetic testing for antidepressant response,antidepressant cheek swab,USD,1,1,2.43,100.00%,2.43,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenomic,Apr-23,24/04/2023,pharmacogenetics,pharmacogenetic,USD,13,1,2.28,7.69%,2.28,0,0,0, , 
SS - Genetic Testing TROAS,antidepressants,Apr-23,17/04/2023,antidepressant genetic test,blood test to see which antidepressant works best,USD,1,1,11.79,100.00%,11.79,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenomic,Mar-23,20/03/2023,pharmacogenomics testing,genetic testing drug metabolism,USD,3,1,1.78,33.33%,1.78,0,0,0, , 
SS - Genetic Testing TROAS,adhd,Mar-23,27/02/2023,genetic testing for adhd medication,genetic testing for adhd,USD,8,1,7.02,12.50%,7.02,0,0,0, , 
SS - Genetic Testing TROAS,medication,Jan-23,30/01/2023,gene testing for medication,cheek swab test for medication,USD,1,1,3.17,100.00%,3.17,0,0,0, , 
SS - Genetic Testing TROAS,adhd,May-23,15/05/2023,genetic testing for medication adhd,genetic testing adhd medications,USD,3,1,12.69,33.33%,12.69,0,0,0, , 
SS - Genetic Testing TROAS,medication,Jan-23,23/01/2023,genetic medication testing,genetic testing medication,USD,9,2,7.37,22.22%,14.74,0,0,0, , 
SS - Genetic Testing TROAS,antidepressants,Feb-23,30/01/2023,antidepressant genetic test,antidepressants genetic testing,USD,2,2,4.22,100.00%,8.44,0,0,0, , 
SS - Genetic Testing TROAS,antidepressants,May-23,22/05/2023,antidepressant genetic test,cheek swab for antidepressants,USD,1,1,2.58,100.00%,2.58,0,0,0, , 
SS - DNA Testing B,mental health,Mar-23,20/03/2023,Mental Health dna test,genetic testing for mental health medications,USD,8,1,4.04,12.50%,4.04,0,0,0, , 
SS - DNA Testing B,mental health,Mar-23,6/03/2023,Mental Health dna test,genetic testing for anxiety,USD,4,1,22.49,25.00%,22.49,0,0,0, , 
SS - Genetic Testing TROAS,adhd,Feb-23,13/02/2023,genetic testing for adhd medication,genetic testing for adhd,USD,20,3,7.52,15.00%,22.56,0,0,0, , 
SS - DNA Testing A,medication,Mar-23,27/02/2023,dna test for medication,genetic testing for psychiatric medications near me,USD,4,1,4.99,25.00%,4.99,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenetic,Apr-23,10/04/2023,pharmacogenetics test,genetic testing for medication near me,USD,3,1,7.21,33.33%,7.21,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenomic,Jan-23,2/01/2023,pharmacogenomic testing,drug metabolism genetic testing,USD,1,1,12.92,100.00%,12.92,374.25,1,28.97,12.92,374.25
SS - Genetic Testing - Sol8,mental health,Apr-23,17/04/2023,genetic testing for mental health medication,genetic testing for mental health,USD,9,2,5.85,22.22%,11.69,0,0,0, , 
SS - Genetic Testing - Sol8,mental health,May-23,8/05/2023,genetic testing for mental health medication,genetic testing for antipsychotics,USD,1,1,1.95,100.00%,1.95,0,0,0, , 
SS - Genetic Testing TROAS,antidepressants,May-23,15/05/2023,genetic testing antidepressants,genetic testing antidepressants,USD,24,2,8.03,8.33%,16.05,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenetic,Jan-23,23/01/2023,pharmacogenetic tests,pharmacogenetic tests,USD,10,1,10.36,10.00%,10.36,0,0,0, , 
SS - Competitors,Genesight,Apr-23,3/04/2023,genesight test,genesighy,USD,3,1,2.33,33.33%,2.33,0,0,0, , 
SS - DNA Testing A,antidepressants,Mar-23,20/03/2023,dna test for antidepressants,dna test for mental health medication,USD,1,2,13.18,200.00%,26.36,0,0,0, , 
SS - DNA Testing A,antidepressants,Jan-23,16/01/2023,dna test for antidepressants,genetic testing for antidepressants near me,USD,1,1,7.04,100.00%,7.04,0,0,0, , 
SS - DNA Testing A,medication,Jan-23,16/01/2023,dna test for medication,dna medical testing for medications,USD,6,1,7.71,16.67%,7.71,0,0,0, , 
SS - Genetic Testing TROAS,depression,Feb-23,6/02/2023,genetic testing depression,genetic test for depression,USD,8,1,3.94,12.50%,3.94,0,0,0, , 
SS - Competitors,Genesight,Mar-23,27/02/2023,genesight testing,genesight testing,USD,"1,046",119,2.62,11.38%,311.8,"1,347.00",4,4.32,77.95,336.75
SS - Genetic Testing - Sol8,mental health,May-23,8/05/2023,genetic testing for mental health medication,test to see which antidepressant works best for you,USD,12,1,5.64,8.33%,5.64,0,0,0, , 
SS - Genetic Testing TROAS,medication,Jan-23,23/01/2023,genetic medication testing,genetic testing for medication effectiveness,USD,19,2,10.79,10.53%,21.57,0,0,0, , 
SS - Genetic Testing TROAS,depression,Jan-23,30/01/2023,genetic testing for mental health meds,genetic testing to see what medications work,USD,1,1,2.24,100.00%,2.24,0,0,0, , 
SS - Brand,General Terms,Jan-23,26/12/2022,clarityx dna reviews,clarityx dna reviews,USD,4,1,9.9,25.00%,9.9,374.25,1,37.8,9.9,374.25
SS - DNA Testing A,medication,Feb-23,27/02/2023,dna medical testing for medications,genetic testing for pain medications,USD,3,1,8.35,33.33%,8.35,0,0,0, , 
SS - Genetic Testing - Sol8,mental health,Apr-23,24/04/2023,genetic testing for mental health medication,genetic testing for mental health,USD,19,2,4.01,10.53%,8.01,0,0,0, , 
SS - Genetic Testing - Sol8,mental health,Mar-23,13/03/2023,genetic testing for mental health medication,test to see which antidepressant works best,USD,2,1,6.46,50.00%,6.46,0,0,0, , 
SS - DNA Testing B,depression,Mar-23,27/02/2023,dna test for depression,genetic depression test,USD,3,1,3.28,33.33%,3.28,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenomic,May-23,15/05/2023,pharmacogenomics testing,genetic testing for medication metabolism,USD,5,1,6.96,20.00%,6.96,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenetic,Mar-23,13/03/2023,pharmacogenetics test,dna testing for medicine effectiveness,USD,5,1,3.8,20.00%,3.8,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenetic,May-23,15/05/2023,pharmacogenetics test,blood test to see what medications work,USD,2,1,1.8,50.00%,1.8,0,0,0, , 
SS - DNA Testing B,adhd,Apr-23,10/04/2023,ADHD dna test psychiatry,genetic test for adhd,USD,7,1,2.63,14.29%,2.63,0,0,0, , 
SS - DNA Testing B,Anxiety,Mar-23,20/03/2023,dna test for anxiety medication,mouth swab to determine medication,USD,5,2,8.56,40.00%,17.11,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenomic,Mar-23,20/03/2023,pharmacogenomic testing for antidepressants,genetic testing for antidepressants,USD,8,1,1.13,12.50%,1.13,0,0,0, , 
SS - Genetic Testing TROAS,medication,May-23,8/05/2023,genetic test for medication,medication genetic testing,USD,11,1,5.9,9.09%,5.9,0,0,0, , 
SS - Competitors,Genesight,Jan-23,23/01/2023,genesight.com,www genesight com,USD,4,1,1.84,25.00%,1.84,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenetic,Mar-23,27/03/2023,pharmacogenetics test,dna test for drug metabolism,USD,2,1,4.71,50.00%,4.71,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenetic,Mar-23,27/02/2023,best pharmacogenetic testing,best pharmacogenetic testing,USD,20,3,10.01,15.00%,30.03,536.43,1.5,17.86,20.02,357.62
SS - Pharmacogenetic,Pharmacogenetic,Jan-23,2/01/2023,pharmacogenetic tests,genetic test for medication,USD,1,1,6.47,100.00%,6.47,0,0,0, , 
SS - Competitors,Genesight,Apr-23,3/04/2023,genesight testing,genesight testing for adhd,USD,4,2,3.25,50.00%,6.49,0,0,0, , 
SS - Genetic Testing - Sol8,mental health,Jan-23,16/01/2023,genetic testing for mental health medication,mouth swab to determine medication,USD,6,1,1.16,16.67%,1.16,0,0,0, , 
SS - Genetic Testing - Sol8,mental health,Apr-23,3/04/2023,genetic testing for mental health medication,prueba farmacogenetica,USD,1,1,1.58,100.00%,1.58,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenomic,Mar-23,27/03/2023,pharmacogenomics testing,medicine dna test,USD,2,1,4.38,50.00%,4.38,0,0,0, , 
SS - Genetic Testing TROAS,antidepressants,Jan-23,23/01/2023,genetic testing for antidepressants,genetic testing for antidepressants,USD,167,15,3.73,8.98%,55.88,299.25,1,5.36,55.88,299.25
SS - Pharmacogenetic,Pharmacogenomic,Apr-23,27/03/2023,pharmacogenetics,pharmacogenomics,USD,35,1,2.3,2.86%,2.3,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenomic,Apr-23,24/04/2023,pharmacogenomic testing near me,pharmacogenomic testing near me,USD,6,1,2.97,16.67%,2.97,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenomic,Apr-23,17/04/2023,pharmacogenomics testing,genetic testing for medications,USD,9,1,3.29,11.11%,3.29,0,0,0, , 
SS - Genetic Testing TROAS,antidepressants,May-23,8/05/2023,genetic test for antidepressants,test to see what antidepressant will work,USD,3,1,0.57,33.33%,0.57,0,0,0, , 
SS - DNA Testing B,depression,Apr-23,17/04/2023,depression dna test psychiatry,antidepressant test,USD,1,1,3.74,100.00%,3.74,0,0,0, , 
SS - DNA Testing A,Psych Meds,Feb-23,6/02/2023,dna testing for psychiatric drugs,genetic test for anxiety medication,USD,3,1,20.07,33.33%,20.07,0,0,0, , 
SS - Competitors,Genesight,Jan-23,23/01/2023,genesight testing,genesight testing for antidepressants,USD,15,1,1.58,6.67%,1.58,0,0,0, , 
SS - DNA Testing A,medication,Jan-23,2/01/2023,dna test for medication,genetics testing for medications,USD,2,1,5.24,50.00%,5.24,0,0,0, , 
SS - Brand,Trademark,Mar-23,27/03/2023,clarityx dna,clarityxdna,USD,3,2,3,66.67%,5.99,0,0,0, , 
SS - Genetic Testing TROAS,antidepressants,May-23,15/05/2023,genetic testing for antidepressants,test to see what antidepressant will work,USD,8,1,2.53,12.50%,2.53,0,0,0, , 
SS - Competitors,Genesight,Jan-23,23/01/2023,genesight psychotropic test,cheek swab for medication,USD,7,3,3.98,42.86%,11.94,0,0,0, , 
SS - DNA Testing B,Anxiety,Mar-23,6/03/2023,dna test for anxiety medication,dna swab test for medication,USD,1,1,5.24,100.00%,5.24,0,0,0, , 
SS - Genetic Testing TROAS,psychiatric,Mar-23,13/03/2023,best genetic testing for psychiatric medications,psych med genetic testing,USD,2,2,1.31,100.00%,2.62,0,0,0, , 
SS - Genetic Testing TROAS,medication,Mar-23,20/03/2023,genetic medication testing,mygenomerx,USD,1,1,3.02,100.00%,3.02,0,0,0, , 
SS - Genetic Testing TROAS,medication,Mar-23,27/03/2023,genetic medication testing,genetic testing for mental health medication,USD,1,2,3.95,200.00%,7.9,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenetic,Jan-23,30/01/2023,pharmacogenetics testing,pharmacogenetics testing,USD,13,1,1.46,7.69%,1.46,0,0,0, , 
SS - Genetic Testing TROAS,antidepressants,Feb-23,6/02/2023,genetic test for antidepressants,test to see which antidepressant works best,USD,4,1,3.07,25.00%,3.07,0,0,0, , 
SS - DNA Testing A,Psych Meds,Feb-23,13/02/2023,dna testing for psychiatric drugs,genetic testing psychiatry,USD,4,1,3.82,25.00%,3.82,0,0,0, , 
SS - DNA Testing A,Psych Meds,Jan-23,23/01/2023,dna testing for psychiatric drugs,mental health genetic testing,USD,15,2,5.49,13.33%,10.98,0,0,0, , 
SS - DNA Testing A,medication,Jan-23,16/01/2023,dna test for medication,dna test medications,USD,2,1,12.52,50.00%,12.52,0,0,0, , 
SS - Genetic Testing TROAS,bipolar,Jan-23,23/01/2023,genetic testing for bipolar medication,genetic testing for bipolar,USD,10,1,6.56,10.00%,6.56,0,0,0, , 
SS - Genetic Testing - Sol8,mental health,Mar-23,20/03/2023,genetic testing for mental health medication,clarityx,USD,3,1,6.5,33.33%,6.5,0,0,0, , 
SS - Genetic Testing TROAS,medication,Apr-23,3/04/2023,genetic test for medication,medication genetic testing,USD,36,3,4.72,8.33%,14.17,299.25,1,21.12,14.17,299.25
SS - Genetic Testing - Sol8,mental health,Feb-23,20/02/2023,genetic testing for mental health medication,genetic testing for adhd medications,USD,8,2,11.12,25.00%,22.23,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenetic,Feb-23,20/02/2023,pharmaco genetic testing,pharmacogenetic testing,USD,12,1,2.44,8.33%,2.44,0,0,0, , 
SS - Brand,Trademark,Apr-23,17/04/2023,clarity x dna,clarity x dna,USD,18,12,1.63,66.67%,19.58,0,0,0, , 
SS - Genetic Testing TROAS,adhd,Apr-23,17/04/2023,adhd genetic testing,adhd gene test,USD,2,1,4.53,50.00%,4.53,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenetic,Apr-23,17/04/2023,pgx genetic testing,pgx pharmacogenomics,USD,6,2,2.74,33.33%,5.48,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenetic,Mar-23,27/03/2023,pharmacogenetics test,dna medication,USD,4,2,4.4,50.00%,8.8,0,0,0, , 
SS - Genetic Testing TROAS,depression,Jan-23,23/01/2023,genetic testing for mental health meds,genetic testing for ssri response,USD,1,1,5.68,100.00%,5.68,0,0,0, , 
SS - DNA Testing A,antidepressants,Jan-23,16/01/2023,blood test for antidepressant,blood test for ssri,USD,5,2,2.82,40.00%,5.64,299.25,1,53.06,5.64,299.25
SS - Genetic Testing TROAS,antidepressants,Apr-23,3/04/2023,genetic testing for antidepressants,blood test for antidepressants,USD,21,2,4.79,9.52%,9.58,0,0,0, , 
SS - DNA Testing A,antidepressants,Apr-23,17/04/2023,dna test antidepressants,dna testing for depression treatment,USD,1,2,3.63,200.00%,7.26,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenomic,Jan-23,23/01/2023,pharmacogenomic testing,dna test for medication metabolism,USD,1,1,2.15,100.00%,2.15,0,0,0, , 
SS - DNA Testing A,Psych Meds,Jan-23,2/01/2023,dna test for psych meds,genetic psych testing,USD,5,1,3.08,20.00%,3.08,0,0,0, , 
SS - Genetic Testing TROAS,adhd,Feb-23,20/02/2023,genetic testing for adhd medication,genetic testing for adhd medications,USD,27,1,3.59,3.70%,3.59,0,0,0, , 
SS - Genetic Testing TROAS,depression,Feb-23,6/02/2023,genetic testing for depression meds,genetic testing for depression medications,USD,7,2,9.32,28.57%,18.64,0,0,0, , 
SS - Competitors,Genesight,Jan-23,9/01/2023,genesight test,genesight test,USD,219,10,1.9,4.57%,19.02,0,0,0, , 
SS - DNA Testing A,medication,Apr-23,3/04/2023,dna medications,dna medicine test,USD,1,1,4.32,100.00%,4.32,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenomic,Jan-23,23/01/2023,pharmacogenomic test,genetic testing for medication,USD,24,2,1.55,8.33%,3.09,0,0,0, , 
SS - DNA Testing B,mental health,Jan-23,2/01/2023,Mental Health dna test,genetic mental health testing,USD,3,1,3.02,33.33%,3.02,0,0,0, , 
SS - Genetic Testing - Sol8,mental health,Feb-23,6/02/2023,genetic testing for mental health medication,genetic testing for mental illness,USD,18,2,2.45,11.11%,4.9,299.25,1,61.07,4.9,299.25
SS - DNA Testing A,antidepressants,Jan-23,23/01/2023,dna test for antidepressants,genetic antidepressant testing,USD,1,1,4.87,100.00%,4.87,0,0,0, , 
SS - DNA Testing A,Psych Meds,Feb-23,6/02/2023,dna testing for psychiatric drugs,psychiatry dna testing,USD,1,1,5.23,100.00%,5.23,0,0,0, , 
SS - Competitors,Genesight,Jan-23,16/01/2023,genesight test,genesight test,USD,254,12,4.53,4.72%,54.3,374.25,1,6.89,54.3,374.25
SS - DNA Testing B,depression,Apr-23,10/04/2023,depression dna test swab,dna testing for antidepressants,USD,7,2,9.57,28.57%,19.14,0,0,0, , 
SS - DNA Testing A,medication,Mar-23,20/03/2023,dna medications,dna medication swab,USD,2,1,3.16,50.00%,3.16,0,0,0, , 
SS - Genetic Testing TROAS,medication,Feb-23,13/02/2023,genetic test for medication,genetic testing for medication tolerance,USD,3,1,5.62,33.33%,5.62,0,0,0, , 
SS - Brand,Trademark,Mar-23,27/02/2023,clarityx dna,clarityxdna,USD,9,5,1.36,55.56%,6.82,299.25,2,43.88,3.41,149.63
SS - DNA Testing A,antidepressants,Apr-23,24/04/2023,dna test antidepressants,dna testing antidepressants,USD,2,1,9.88,50.00%,9.88,249.5,1,25.25,9.88,249.5
SS - DNA Testing A,antidepressants,May-23,1/05/2023,dna test antidepressants,antidepressant dna test,USD,6,1,14.47,16.67%,14.47,0,0,0, , 
SS - DNA Testing A,antidepressants,Feb-23,6/02/2023,dna test antidepressants,genetic test depression,USD,2,1,0.97,50.00%,0.97,0,0,0, , 
SS - Genetic Testing TROAS,depression,Mar-23,27/03/2023,genetic testing depression,gene swab test for depression,USD,1,1,3.45,100.00%,3.45,0,0,0, , 
