Campaign,Month,Week,Search keyword,Search term,Currency code,Impr.,Clicks,Cost,Conv. value,Conversions,Conv. value / cost,Cost / conv.,Value / conv.
SS - DNA Testing A,May-23,22/05/2023,dna test for antidepressants,dna test for antidepressants,USD,39,2,8.63,0,0,0, --, --
SS - DNA Testing A,Apr-23,10/04/2023,dna test for antidepressants,ssri dna test,USD,3,1,21.67,0,0,0, --, --
SS - Competitors,Apr-23,17/04/2023,genesight testing,gene sight,USD,15,1,2,0,0,0, --, --
SS - Brand,Apr-23,17/04/2023,ClarityX,clarityx,USD,77,37,58.89,518.7,1,8.81,58.89,518.7
SS - Pharmacogenetic,Apr-23,3/04/2023,pharmacogenetics testing,gene testing for medication,USD,1,1,3.31,359.25,1,108.53,3.31,359.25
SS - Pharmacogenetic,Apr-23,3/04/2023,pharmacogenetics test,gene medication testing,USD,1,1,3.42,0,0,0, --, --
SS - DNA Testing B,Jan-23,2/01/2023,dna test for depression medication,genetic depression test,USD,1,1,1.67,0,0,0, --, --
SS - Brand,Mar-23,27/03/2023,ClarityX,clarityx,USD,50,22,9.04,374.25,1,41.4,9.04,374.25
SS - Competitors,Jan-23,9/01/2023,genesight test,genesight pharmacogenomic testing,USD,3,1,6.59,0,0,0, --, --
SS - Genetic Testing TROAS,Jan-23,2/01/2023,genetic testing for depression meds,genetic test to determine best antidepressant,USD,1,1,8.17,0,0,0, --, --
SS - DNA Testing A,Jan-23,2/01/2023,dna test for medication,dna test for medication metabolism,USD,2,1,3.08,0,0,0, --, --
SS - Genetic Testing TROAS,Apr-23,3/04/2023,gene testing for medication,gene testing for medication,USD,174,12,60.74,0,0,0, --, --
SS - Genetic Testing TROAS,Feb-23,6/02/2023,genetic test for medication,genetic swab test for medication,USD,6,2,7.46,0,0,0, --, --
SS - Genetic Testing TROAS,Apr-23,24/04/2023,genetic test for medication,genetic testing medication,USD,5,2,6.63,0,0,0, --, --
SS - Genetic Testing - Sol8,Feb-23,20/02/2023,genetic testing for mental health medication,genome testing for depression,USD,1,1,5.53,0,0,0, --, --
SS - Genetic Testing - Sol8,Jan-23,16/01/2023,genetic testing for mental health medication,genetic testing for mental illness,USD,9,1,6.24,0,0,0, --, --
SS - Genetic Testing - Sol8,Feb-23,27/02/2023,genetic testing for mental health medication,genetic testing for mental illness,USD,11,1,1.88,0,0,0, --, --
SS - Genetic Testing TROAS,Apr-23,3/04/2023,genetic medication testing,gene testing for anxiety medication,USD,1,1,14.11,0,0,0, --, --
SS - Genetic Testing TROAS,Apr-23,3/04/2023,genetic testing antidepressants,genetic test antidepressants,USD,6,1,4.77,0,0,0, --, --
SS - DNA Testing A,Mar-23,20/03/2023,dna test for medication,dna test for medications compatibility,USD,2,2,8.62,0,0,0, --, --
SS - DNA Testing A,Jan-23,23/01/2023,dna test for medication,genetic testing for adhd medications,USD,20,4,41,0,0,0, --, --
SS - Pharmacogenetic,May-23,8/05/2023,pharmacogenomics testing,genetic testing for drug metabolism,USD,6,1,1.98,0,0,0, --, --
SS - Genetic Testing TROAS,Feb-23,20/02/2023,genetic testing for bipolar medication,genetic testing for bipolar medication,USD,6,2,5.5,0,0,0, --, --
SS - Genetic Testing TROAS,Apr-23,17/04/2023,ssri genetic testing,ssri test,USD,1,1,21.96,0,0,0, --, --
SS - Genetic Testing TROAS,Apr-23,3/04/2023,genetic testing for antidepressants,genetic test for antidepressant,USD,1,1,7.58,0,0,0, --, --
SS - DNA Testing A,Jan-23,9/01/2023,dna test antidepressants,dna testing for antidepressant drugs,USD,1,1,2.65,0,0,0, --, --
SS - DNA Testing A,Feb-23,6/02/2023,dna testing for psychiatric drugs,genetic testing psychopharmacology,USD,6,1,6.79,0,0,0, --, --
SS - DNA Testing A,Jan-23,2/01/2023,dna testing for psychiatric drugs,dna test for mental disorders,USD,3,2,7.04,0,0,0, --, --
SS - DNA Testing A,Jan-23,16/01/2023,dna testing for psychiatric drugs,gene testing for mental health,USD,9,1,1.95,0,0,0, --, --
SS - Pharmacogenetic,Jan-23,2/01/2023,pharmacogenetic testing near me,pharmacogenetic testing near me,USD,15,1,4.12,0,0,0, --, --
SS - DNA Testing B,Mar-23,27/03/2023,Mental Health dna test,genetic testing mental illness,USD,5,1,7.47,0,0,0, --, --
SS - DNA Testing B,May-23,1/05/2023,Mental Health dna test,is there a genetic test for schizophrenia,USD,5,1,1.86,0,0,0, --, --
SS - Pharmacogenetic,May-23,22/05/2023,pharmacogenetics test,pharmacogenetic testing,USD,184,24,105.2,0,0,0, --, --
SS - DNA Testing B,Mar-23,6/03/2023,depression dna test swab,genetic test for antidepressants,USD,3,1,8.22,0,0,0, --, --
SS - Genetic Testing TROAS,Jan-23,2/01/2023,genetic testing for mental health meds,genetic testing mental health,USD,2,1,4.64,0,0,0, --, --
SS - DNA Testing A,Jan-23,9/01/2023,dna test for medication,dna swab for medication,USD,13,2,11.3,0,0,0, --, --
SS - Pharmacogenetic,Apr-23,27/03/2023,pharmacogenetics,pharmacogenomics testing at home,USD,1,1,2.66,0,0,0, --, --
SS - DNA Testing A,Jan-23,2/01/2023,blood test for antidepressant,blood test for mental health medication,USD,9,1,4.46,0,0,0, --, --
SS - Pharmacogenetic,Mar-23,13/03/2023,pharmacogenomics testing,drug response testing,USD,1,1,4.4,0,0,0, --, --
SS - Genetic Testing TROAS,Apr-23,3/04/2023,adhd genetic testing,adhd genetic test,USD,3,1,4.16,0,0,0, --, --
SS - Genetic Testing TROAS,Apr-23,27/03/2023,gene testing for medication,gene testing for medication,USD,27,4,15.11,0,0,0, --, --
SS - Genetic Testing TROAS,Mar-23,20/03/2023,genetic testing for medication adhd,genetic testing for medication adhd,USD,2,1,2.16,0,0,0, --, --
SS - Genetic Testing TROAS,May-23,15/05/2023,genetic testing for antidepressants,blood test to determine best antidepressant,USD,11,2,6.39,0,0,0, --, --
SS - Competitors,Mar-23,27/02/2023,genesight testing,genesight,USD,49,3,6.38,0,0,0, --, --
SS - DNA Testing B,Mar-23,27/03/2023,dna test for depression,testing for antidepressants,USD,1,1,11.75,0,0,0, --, --
SS - DNA Testing A,Jan-23,2/01/2023,dna test antidepressants,dna test depression,USD,2,1,5.9,0,0,0, --, --
SS - DNA Testing A,Feb-23,13/02/2023,dna test antidepressants,dna testing for depression and anxiety,USD,1,1,8.13,0,0,0, --, --
SS - DNA Testing A,Jan-23,16/01/2023,dna testing for psychiatric drugs,mental illness dna testing,USD,2,3,4.01,0,0,0, --, --
SS - Pharmacogenetic,Feb-23,13/02/2023,pharmacogenetics test,blood test for medication metabolism,USD,1,1,3.31,0,0,0, --, --
SS - DNA Testing A,Jan-23,23/01/2023,dna test for medication,medication genetic testing,USD,22,2,11.69,0,0,0, --, --
SS - Genetic Testing - Sol8,May-23,8/05/2023,genetic testing for mental health medication,gene site testing,USD,6,2,4.33,0,0,0, --, --
SS - Genetic Testing TROAS,Apr-23,27/03/2023,genetic test for medication,genetic testing for medications,USD,30,3,14.73,0,0,0, --, --
SS - DNA Testing B,Mar-23,27/03/2023,dna test for depression medication,ssri test,USD,2,1,3.03,0,0,0, --, --
SS - Genetic Testing TROAS,Feb-23,13/02/2023,genetic testing for antidepressants,genetic tests for antidepressants,USD,5,2,5.48,0,0,0, --, --
SS - Competitors,Jan-23,16/01/2023,genesight reviews,genesight patient reviews,USD,1,1,9.56,0,0,0, --, --
SS - DNA Testing A,Jan-23,2/01/2023,dna test for psych meds,psych med genetic testing,USD,3,1,3.69,0,0,0, --, --
SS - Pharmacogenetic,May-23,1/05/2023,pharmacogenomics testing,genetic testing for medication,USD,10,1,1.47,0,0,0, --, --
SS - Pharmacogenetic,Mar-23,20/03/2023,pharmacogenomics testing,blood test to see what medications work,USD,5,1,5.33,0,0,0, --, --
SS - DNA Testing B,Mar-23,27/03/2023,dna swab test for anxiety medication,dna testing for anxiety,USD,1,1,6.33,0,0,0, --, --
SS - Pharmacogenetic,May-23,22/05/2023,pharmacogenomics testing,genetic testing for best medication,USD,1,1,6.64,0,0,0, --, --
SS - Pharmacogenetic,May-23,15/05/2023,pharmacogenomics testing,genetic testing to see what medications work,USD,13,3,13.39,0,0,0, --, --
SS - DNA Testing A,Feb-23,6/02/2023,dna test antidepressants,mouth swab test for antidepressants,USD,4,1,5.76,0,0,0, --, --
SS - DNA Testing A,Jan-23,16/01/2023,dna test for medication,gene test for medication,USD,21,1,5.09,0,0,0, --, --
SS - DNA Testing A,Apr-23,3/04/2023,dna medications,dna test for medication effectiveness,USD,3,2,11.98,0,0,0, --, --
SS - Genetic Testing - Sol8,Apr-23,24/04/2023,genetic testing for mental health medication,gene test for antidepressants,USD,5,2,9.71,0,0,0, --, --
SS - DNA Testing B,Mar-23,6/03/2023,dna test for anxiety medication,genetic anxiety test,USD,1,1,1.66,0,0,0, --, --
SS - Genetic Testing - Sol8,Jan-23,2/01/2023,genetic testing for mental health medication,psych genetic testing,USD,2,1,6.35,409.7,1,64.52,6.35,409.7
SS - DNA Testing B,Apr-23,10/04/2023,Mental Health dna test,genetic test for anxiety,USD,2,1,6.76,0,0,0, --, --
SS - DNA Testing A,Apr-23,3/04/2023,dna test for antidepressants,dna test for best antidepressant,USD,1,1,7.4,299.25,1,40.44,7.4,299.25
SS - Genetic Testing TROAS,Feb-23,20/02/2023,genetic testing for bipolar medication,genetic testing for bipolar disorder,USD,8,3,8.82,0,0,0, --, --
SS - Brand,Apr-23,3/04/2023,clarityx dna reviews,clarity x reviews,USD,5,1,0.09,0,0,0, --, --
SS - Genetic Testing TROAS,Apr-23,10/04/2023,genetic test for medication,blood test to see what medications work best,USD,11,1,4.68,0,0,0, --, --
SS - Genetic Testing TROAS,Apr-23,3/04/2023,genetic test for medication,genetic testing for medications,USD,124,8,57.97,0,0,0, --, --
SS - DNA Testing B,Jan-23,26/12/2022,dna test for depression medication,antidepressant dna test,USD,1,1,2.9,0,0,0, --, --
SS - DNA Testing B,Jan-23,16/01/2023,Mental Health dna test,genetic testing for bipolar,USD,5,1,3.06,0,0,0, --, --
SS - DNA Testing B,Jan-23,30/01/2023,Mental Health dna test,dna antidepressant test,USD,3,2,6.7,0,0,0, --, --
SS - DNA Testing A,Apr-23,17/04/2023,dna medical testing for medications,medication genetic testing,USD,5,1,5.67,0,0,0, --, --
SS - Genetic Testing TROAS,Apr-23,24/04/2023,genetic testing for medication adhd,genetic testing for adhd,USD,17,1,1.09,0,0,0, --, --
SS - Brand,Mar-23,6/03/2023,clarityx dna,clarityx dna,USD,16,7,8.73,0,0,0, --, --
SS - Genetic Testing TROAS,Apr-23,27/03/2023,genetic testing depression,genetic testing for depression,USD,6,1,4.12,0,0,0, --, --
SS - DNA Testing A,Mar-23,27/03/2023,dna medications,dna medication test,USD,6,1,6.63,0,0,0, --, --
SS - DNA Testing B,Mar-23,13/03/2023,Mental Health dna test,dna test for mental health medications,USD,5,1,1.8,0,0,0, --, --
SS - Competitors,Feb-23,6/02/2023,genesight test,genesight test,USD,263,12,37.77,299.25,1,7.92,37.77,299.25
SS - Brand,Jan-23,16/01/2023,clarityx dna test,clarityx dna test,USD,2,1,3.15,0,0,0, --, --
SS - Genetic Testing TROAS,Apr-23,24/04/2023,genetic testing antidepressants,genetic testing antidepressants,USD,30,2,9.72,0,0,0, --, --
SS - Genetic Testing TROAS,Apr-23,10/04/2023,genetic medication testing,apoe4 genetic testing,USD,8,1,4.51,0,0,0, --, --
SS - Brand,May-23,22/05/2023,clarityx dna,clarityxdna,USD,9,4,5.51,0,0,0, --, --
SS - Pharmacogenetic,Jan-23,2/01/2023,pharmacogenomic test,genome testing for medication,USD,1,1,5.5,0,0,0, --, --
SS - Genetic Testing - Sol8,Feb-23,13/02/2023,genetic testing for mental health medication,genetic testing to see what medications work,USD,1,1,6.27,0,0,0, --, --
SS - Competitors,Mar-23,27/02/2023,genesight reviews,genesight reviews,USD,108,4,20.84,0,0,0, --, --
SS - DNA Testing A,Feb-23,6/02/2023,dna medical testing for medications,genetic testing for pain medications,USD,4,1,1.59,0,0,0, --, --
SS - Pharmacogenetic,Feb-23,6/02/2023,pharmacogenomics testing,gene test for medication,USD,14,1,6.98,0,0,0, --, --
SS - Genetic Testing TROAS,Feb-23,6/02/2023,genetic testing for antidepressants,gene test for antidepressants,USD,10,1,2.74,0,0,0, --, --
SS - DNA Testing A,Jan-23,2/01/2023,dna test for medication,dna medication test,USD,8,2,11.59,0,0,0, --, --
SS - DNA Testing B,Jan-23,9/01/2023,depression dna test swab,gene test for antidepressants,USD,2,1,22.45,0,0,0, --, --
SS - Pharmacogenetic,Feb-23,30/01/2023,dna pharmacogenetic testing,dna testing for medication management,USD,1,1,7.51,0,0,0, --, --
SS - Pharmacogenetic,May-23,8/05/2023,pharmacogenomics testing,genetic testing drug metabolism,USD,4,1,3.17,0,0,0, --, --
SS - Genetic Testing TROAS,Apr-23,3/04/2023,genetic test for medication,blood test to see what medications work best,USD,9,1,4.58,0,0,0, --, --
SS - DNA Testing A,Apr-23,17/04/2023,dna testing for medication efficacy,genetic testing for medication,USD,3,1,1.87,0,0,0, --, --
SS - DNA Testing B,Jan-23,2/01/2023,Mental Health dna test,genetic testing for depression,USD,13,4,12.52,0,0,0, --, --
SS - DNA Testing B,Jan-23,2/01/2023,Mental Health dna test,genetic tests for antidepressants,USD,1,1,7.09,0,0,0, --, --
SS - DNA Testing B,Mar-23,6/03/2023,Mental Health dna test,dna test for ssri,USD,1,1,9.18,0,0,0, --, --
SS - Competitors,Feb-23,20/02/2023,genesight reviews,genesight reviews,USD,160,7,29.72,299.25,1,10.07,29.72,299.25
SS - Genetic Testing TROAS,Feb-23,27/02/2023,genetic testing for medication adhd,gene test adhd,USD,1,1,2.11,0,0,0, --, --
SS - Pharmacogenetic,Apr-23,3/04/2023,pharmacogenetics test,pharmacogenetic testing,USD,187,11,50.18,0,0,0, --, --
SS - Pharmacogenetic,Apr-23,24/04/2023,pharmacogenomics testing,dna prescription testing,USD,1,1,4.36,0,0,0, --, --
SS - Pharmacogenetic,Feb-23,27/02/2023,pharmacogenomics testing,genetic testing for medicines,USD,1,1,4.87,0,0,0, --, --
SS - DNA Testing A,Feb-23,20/02/2023,dna test for antidepressants,dna testing for mental health drugs,USD,1,1,6.33,0,0,0, --, --
SS - Genetic Testing TROAS,Apr-23,3/04/2023,genetic testing for medication efficacy,genetic testing for medication efficacy,USD,71,20,136.21,0,0,0, --, --
SS - Genetic Testing - Sol8,Apr-23,3/04/2023,genetic testing for mental health medication,genetic testing medications,USD,1,1,4.2,0,0,0, --, --
SS - DNA Testing A,Jan-23,9/01/2023,dna test for medication,genome testing for medication,USD,3,1,2.79,0,0,0, --, --
SS - Genetic Testing TROAS,Mar-23,6/03/2023,genetic testing for antidepressant response,test for antidepressants,USD,2,2,8.94,0,0,0, --, --
SS - Pharmacogenetic,Mar-23,13/03/2023,pharmacogenomics testing near me,pharmacogenomic testing companies,USD,1,1,4.19,0,0,0, --, --
SS - Pharmacogenetic,Feb-23,13/02/2023,pharmacogenetic tests,pharmacogenetic tests,USD,5,1,7.65,0,0,0, --, --
SS - Pharmacogenetic,Apr-23,10/04/2023,pharmacogenetic tests,combinatorial pharmacogenomic test,USD,1,1,11.98,0,0,0, --, --
SS - Genetic Testing TROAS,May-23,8/05/2023,genetic testing for antidepressants,test to see what antidepressant will work,USD,17,2,8.5,374.25,1,44.03,8.5,374.25
SS - Genetic Testing TROAS,Jan-23,23/01/2023,genetic testing for bipolar medication,bipolar genetic testing,USD,8,1,1.38,0,0,0, --, --
SS - Pharmacogenetic,Feb-23,20/02/2023,pharmacogenetics test,genetic testing for drug metabolism,USD,5,1,5.95,0,0,0, --, --
SS - Pharmacogenetic,Apr-23,24/04/2023,pharmacogenetics test,pharmacogenetic test,USD,17,1,3.48,0,0,0, --, --
SS - Pharmacogenetic,May-23,15/05/2023,pharmacogenetics test,dna test medication,USD,2,1,8.67,0,0,0, --, --
SS - Pharmacogenetic,Feb-23,6/02/2023,pharmacogenetic testing at home,pharmacogenomics testing at home,USD,6,1,9.27,299.25,1,32.28,9.27,299.25
SS - Competitors,Apr-23,17/04/2023,genesight psychotropic test,genesight dna test for antidepressants,USD,4,2,20.1,0,0,0, --, --
SS - Pharmacogenetic,May-23,8/05/2023,pharmacogenetics,pharmacogenetics,USD,152,5,12.02,0,0,0, --, --
SS - DNA Testing A,Mar-23,20/03/2023,dna testing for psychiatric drugs,blood test for mental health medication,USD,6,1,11.03,0,0,0, --, --
SS - DNA Testing A,Feb-23,13/02/2023,dna testing for psychiatric drugs,dna test for mental disorders,USD,3,2,6.42,0,0,0, --, --
SS - Competitors,Feb-23,30/01/2023,Tempus.com,tempus genetic testing reviews,USD,10,1,6.53,0,0,0, --, --
SS - DNA Testing A,Feb-23,6/02/2023,dna test for medication,dna testing for medications,USD,8,1,4.55,0,0,0, --, --
SS - Genetic Testing TROAS,May-23,15/05/2023,genetic testing antidepressants,test to see what antidepressant will work,USD,6,2,6.75,0,0,0, --, --
SS - DNA Testing A,Mar-23,20/03/2023,dna medications,dna swab for medication,USD,8,2,10.97,409.7,1,37.35,10.97,409.7
SS - Competitors,Jan-23,2/01/2023,genesight testing,genesight testing for antidepressants,USD,12,2,13.91,0,0,0, --, --
SS - Pharmacogenetic,Jan-23,16/01/2023,pharmacogenomic test,genetic drug testing,USD,2,1,0.68,0,0,0, --, --
SS - DNA Testing A,Feb-23,30/01/2023,dna test for antidepressants,blood test to see what antidepressant will work,USD,3,2,5.7,0,0,0, --, --
SS - Genetic Testing TROAS,Mar-23,13/03/2023,genetic testing for adhd medication,genetic testing for adhd medications,USD,23,4,20.79,0,0,0, --, --
SS - DNA Testing A,Jan-23,9/01/2023,dna testing for psychiatric drugs,genetic test for mental health,USD,3,1,2.11,0,0,0, --, --
SS - Competitors,Feb-23,30/01/2023,genesight.com,genesight com,USD,7,2,4.62,374.25,1,81.01,4.62,374.25
SS - DNA Testing A,Feb-23,6/02/2023,dna test for antidepressants,dna testing for depression,USD,2,1,14.49,0,0,0, --, --
SS - Genetic Testing TROAS,Apr-23,17/04/2023,genetic test for medication,genetic medicine testing,USD,4,1,2.5,0,0,0, --, --
SS - DNA Testing B,Feb-23,13/02/2023,Mental Health dna test,psychotropic medication genetic testing,USD,1,1,4.32,0,0,0, --, --
SS - DNA Testing A,Feb-23,20/02/2023,dna medical testing for medications,best genetic testing for psychiatric medications,USD,1,1,8.76,0,0,0, --, --
SS - Pharmacogenetic,Jan-23,9/01/2023,pharmaco genetic testing,pharmacogenetic testing,USD,40,2,22.08,0,0,0, --, --
SS - DNA Testing A,Jan-23,2/01/2023,dna test antidepressants,genetic testing psychiatric medications,USD,1,1,15.96,0,0,0, --, --
SS - Brand,Feb-23,27/02/2023,clarityx dna reviews,clarity x reviews,USD,5,1,8.27,0,0,0, --, --
SS - Pharmacogenetic,Apr-23,17/04/2023,pharmacogenetics test,pharmacogenetics test,USD,13,2,4.55,0,0,0, --, --
SS - DNA Testing B,Jan-23,2/01/2023,dna test for anxiety medication,test to see what antidepressant will work,USD,6,2,6.75,0,0,0, --, --
SS - Genetic Testing TROAS,Apr-23,24/04/2023,genetic testing for antidepressants,blood test for antidepressant effectiveness,USD,1,1,2.19,0,0,0, --, --
SS - DNA Testing B,Apr-23,24/04/2023,depression dna test psychiatry,test to see which antidepressant works best for you,USD,3,1,5.58,0,0,0, --, --
SS - DNA Testing A,Jan-23,16/01/2023,dna test for medication,psychotropic dna testing,USD,2,1,16.73,0,0,0, --, --
SS - Genetic Testing TROAS,May-23,8/05/2023,genetic medication testing,functional medicine genetic testing,USD,3,1,3.58,0,0,0, --, --
SS - DNA Testing A,Apr-23,3/04/2023,dna medications,dna medication,USD,3,1,5.92,0,0,0, --, --
SS - Genetic Testing TROAS,Feb-23,30/01/2023,genetic testing for medication,gene test for medication,USD,5,1,7.31,0,0,0, --, --
SS - Pharmacogenetic,Jan-23,16/01/2023,best pharmacogenetic testing,pharmacogenomics test,USD,1,1,5.31,0,0,0, --, --
SS - Pharmacogenetic,Mar-23,13/03/2023,pharmacogenomics testing,genetic testing for medication efficacy,USD,9,2,2.9,299.25,1,103.19,2.9,299.25
SS - Genetic Testing TROAS,Apr-23,10/04/2023,genetic testing for antidepressants,genetic test antidepressants,USD,1,1,14.44,0,0,0, --, --
SS - Genetic Testing TROAS,May-23,8/05/2023,genetic testing for antidepressants,genetic test antidepressants,USD,1,1,3.3,0,0,0, --, --
SS - Genetic Testing TROAS,Apr-23,17/04/2023,genetic testing for antidepressants,genetic testing for antidepressants near me,USD,1,1,10.34,0,0,0, --, --
SS - Brand,Feb-23,30/01/2023,clarityx dna,clarityx dna,USD,10,7,12.54,0,0,0, --, --
SS - DNA Testing A,Mar-23,20/03/2023,dna medications,gene medication test,USD,1,1,4.97,0,0,0, --, --
SS - Genetic Testing TROAS,Jan-23,2/01/2023,genetic testing for mental health meds,blood test for psychiatric medications,USD,2,1,8.52,0,0,0, --, --
SS - Genetic Testing - Sol8,Jan-23,2/01/2023,genetic testing for mental health medication,saliva test for medication,USD,2,2,14.14,0,0,0, --, --
SS - DNA Testing A,Mar-23,13/03/2023,dna test for antidepressants,antidepressant dna test,USD,1,1,11.67,0,0,0, --, --
SS - DNA Testing B,Mar-23,6/03/2023,dna swab test for ADHD medication,adhd dna test,USD,4,1,17.15,0,0,0, --, --
SS - Genetic Testing TROAS,Feb-23,6/02/2023,genetic testing for antidepressants,genetic testing for antidepressant effectiveness,USD,1,1,3.19,0,0,0, --, --
SS - Pharmacogenetic,Mar-23,13/03/2023,pharmacogenetics test,genetic testing for medication,USD,13,2,5.31,0,0,0, --, --
SS - Competitors,Mar-23,20/03/2023,genesight testing,genesight testing reviews,USD,9,1,1.68,0,0,0, --, --
SS - Genetic Testing TROAS,May-23,15/05/2023,genetic test for medication,blood test to see what medications work best,USD,3,1,7.82,0,0,0, --, --
SS - Genetic Testing - Sol8,Apr-23,17/04/2023,genetic testing for mental health medication,genetic testing for mental illness,USD,1,1,1.97,0,0,0, --, --
SS - Pharmacogenetic,Mar-23,13/03/2023,pharmacogenetics testing,pharmacogenomics testing at home,USD,2,2,7,0,0,0, --, --
SS - Pharmacogenetic,May-23,15/05/2023,pharmacogenomics testing,genetic testing for medications,USD,19,3,12.62,0,0,0, --, --
SS - Pharmacogenetic,Jan-23,16/01/2023,pharmacogenetic testing at home,pharmacogenomics testing at home,USD,15,5,23.37,0,0,0, --, --
SS - Competitors,May-23,8/05/2023,genesight test,gene sight test,USD,37,9,19.82,0,0,0, --, --
SS - DNA Testing B,May-23,22/05/2023,dna test for anxiety medication,genesyte,USD,1,1,1.34,0,0,0, --, --
SS - DNA Testing A,Mar-23,20/03/2023,blood test for antidepressant,blood test to see what antidepressant will work,USD,1,1,2.74,0,0,0, --, --
SS - Competitors,Apr-23,3/04/2023,genesight testing,gene sight,USD,6,1,1.96,0,0,0, --, --
SS - DNA Testing B,Feb-23,6/02/2023,Mental Health dna test,dna antidepressant test,USD,3,1,22.77,0,0,0, --, --
SS - DNA Testing A,Mar-23,20/03/2023,dna test antidepressants,genetic testing for depression and anxiety,USD,1,1,7.09,0,0,0, --, --
SS - DNA Testing A,Feb-23,20/02/2023,dna test for antidepressants,dna test depression,USD,2,1,5.77,0,0,0, --, --
